,model,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV13_9MAXI_Somermeyer_2022_all,Q6WV13_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
29,EVE_evol_indices_ensemble,-0.63,-0.45,-0.33,-0.22,-0.30,-0.24
30,EVmutation_prediction_epistatic,0.63,0.45,0.39,0.29,0.37,0.27
31,EVmutation_prediction_independent,0.53,0.34,0.33,0.22,0.29,0.18
32,GEMME_GEMME_score,0.62,0.45,0.43,0.34,0.37,0.28
33,MIF_mif_mif_score,0.29,0.22,0.16,0.13,0.10,0.11
34,MIF_mifst_mifst_score,0.32,0.23,0.16,0.13,0.14,0.15
35,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed1,0.65,0.48,0.41,0.31,0.32,0.25
36,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed2,0.64,0.47,0.40,0.31,0.32,0.25
37,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed3,0.63,0.46,0.39,0.29,0.33,0.26
38,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed4,0.63,0.43,0.40,0.30,0.32,0.25
39,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed5,0.64,0.47,0.36,0.23,0.32,0.25
40,MSA_Transformer_esm_msa1b_t12_100M_UR50S_ensemble,0.66,0.49,0.41,0.31,0.32,0.25
41,MULAN_MULAN_small_MULAN_score,0.19,0.14,0.05,0.01,0.04,0.05
42,PoET_PoET_score,0.69,0.53,0.46,0.37,0.35,0.26
43,Progen2_base_Progen2_score,0.07,0.04,0.03,-0.02,0.04,0.01
44,Progen2_large_Progen2_score,0.19,0.08,-0.00,-0.05,0.25,0.15
45,Progen2_medium_Progen2_score,0.05,0.02,-0.00,-0.04,-0.00,-0.01
46,Progen2_small_Progen2_score,0.01,-0.03,0.00,-0.04,-0.01,-0.00
47,Progen2_xlarge_Progen2_score,0.36,0.18,-0.01,-0.07,0.27,0.16
48,ProSST_ProSST-1024_ProSST-1024,0.60,0.42,0.41,0.33,0.42,0.31
49,ProSST_ProSST-128_ProSST-128,0.57,0.38,0.46,0.37,0.39,0.28
50,ProSST_ProSST-20_ProSST-20,0.59,0.40,0.39,0.30,0.35,0.26
51,ProSST_ProSST-2048_ProSST-2048,0.52,0.41,0.26,0.29,0.28,0.26
52,ProSST_ProSST-4096_ProSST-4096,0.63,0.43,0.47,0.37,0.48,0.37
53,ProSST_ProSST-512_ProSST-512,0.60,0.39,0.44,0.35,0.39,0.30
54,ProteinMPNN_pmpnn_ll,0.40,0.26,0.17,0.14,0.19,0.17
55,ProtGPT2_ProtGPT2_score,0.02,0.01,0.04,0.06,-0.02,-0.03
56,ProtSSN_ProtSSN_k10_h512,0.49,0.38,0.23,0.19,0.24,0.23
57,ProtSSN_ProtSSN_k20_h512,0.50,0.40,0.29,0.26,0.26,0.24
58,ProtSSN_ProtSSN_k30_h512,0.49,0.40,0.26,0.23,0.25,0.24
59,ProtSSN_ProtSSN_k10_h768,0.49,0.38,0.25,0.22,0.23,0.22
60,ProtSSN_ProtSSN_k20_h768,0.49,0.39,0.27,0.23,0.24,0.23
61,ProtSSN_ProtSSN_k30_h768,0.49,0.39,0.26,0.23,0.24,0.23
62,ProtSSN_ProtSSN_k10_h1280,0.50,0.40,0.24,0.21,0.25,0.23
