,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV12_9MAXI_Somermeyer_2022_all,Q6WV12_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
RITA_l,0.12330125264541437,0.01846070416165518,0.010607005075983077,-0.045674038696562405,0.19973823971301966,0.015026154505243932
RITA_xl,0.10932904020583803,0.013885381689256574,0.0757361975721739,-0.030634246166501632,0.15183491968512483,-0.07535261978456861
Progen2_small,0.02891930652888283,-0.031687550729179365,-0.02169030219505033,-0.021547540116890255,0.09804791526265928,-0.047721631766693424
Progen2_medium,0.09987002885378175,-0.010190103320521974,-0.006895852840437556,-0.05743527715974942,0.1064008593782798,-0.028598302943162054
Progen2_base,0.10884212819616346,0.014384969400075531,0.014085749988287169,0.004339560592375588,0.12948012690960786,-0.005978882050071235
Progen2_large,0.1787029767230813,-0.008382450996376321,-0.004596522218385655,-0.06326537742565598,0.31130630293426115,0.16240664256301215
Progen2_xlarge,0.37754361772471023,0.025453885899449226,-0.00646725810034556,-0.08029683722929183,0.3585780309320532,0.16200941615236478
GEMME,0.5773230302114961,0.25682211527050675,0.39925294598894523,0.22088263721251306,0.42431437208553807,0.21023320206081997
VESPA,0.5449019587679512,0.30873600292004977,0.3152662548488891,0.20698528924352597,0.34688850583760067,0.11501378435381056
VESPAl,0.5579027777535208,0.30563789615059156,0.3272744365361124,0.20739659127818671,0.35246346399300765,0.12645440463631777
VespaG,0.5715344233347924,0.24714171995657505,0.3389361678376256,0.17033475470924783,0.3631736990727087,0.08867692384409513
ProtGPT2,-0.01793394441094318,-0.04182777303817937,0.04045550093121741,0.013099476499995584,0.06536161283151358,-0.12170667463132216
Tranception_S_no_retrieval,0.12702830905656654,0.002833556846335916,0.05576000079596321,-0.04743692373252405,0.02735517433770712,-0.016205096855534715
Tranception_M_no_retrieval,0.1468854700249094,0.01857533663139518,0.0250563323738561,-0.0578488474910623,0.11030702740650812,-0.0373053060022078
Tranception_L_no_retrieval,0.1665165678174121,-0.009946334909983603,0.004912437707207281,-0.077579272986111,0.3621194633935629,0.21406206493477087
Tranception_S,0.4996099468057015,0.17456031697808566,0.2489210490530473,0.08667331405107502,0.2480387339303801,0.12779548097113233
Tranception_M,0.49871743408013053,0.17488080121103963,0.24489259784975934,0.08584416275268343,0.26526068600595903,0.12609515207121652
Tranception_L,0.4908151724931894,0.1668718850085308,0.24297343064157373,0.08155571620877748,0.37193543979420196,0.21803532835296963
TranceptEVE_S,0.6050927705917514,0.21058301714391364,0.3138189957955353,0.17295842416435103,0.3277793599681174,0.1628828145999266
TranceptEVE_M,0.6065389724021684,0.2091731851285558,0.30958448575029707,0.16971605311320873,0.34180818906719573,0.16986550527765892
TranceptEVE_L,0.5927811990246985,0.19489209676459687,0.30323671879425423,0.1631912802861979,0.38622998326695585,0.22887436297708755
CARP_38M,0.027734828785145993,-0.03184743821797576,0.009982079307212453,-0.051374641965797656,0.05063229158923025,-0.039106565386338395
CARP_600K,0.029999695259782237,-0.01077922347074364,-0.03158705726797289,-0.036665249288868086,0.0896110320029172,-0.030689862383375843
CARP_640M,0.04791116502534655,-0.025146751542094423,-0.015047608018907314,-0.05740995957326009,0.018584526218723564,-0.014945206501728286
CARP_76M,0.05851715093355088,-0.013143343650973596,-0.0007173201186248622,-0.06563803402007057,0.06261960079020927,-0.03250511213165504
MIF,0.2796114503660544,0.07425608104848193,0.14835746135811512,0.07141195298465398,0.14900996777522424,0.015472343436612555
MIFST,0.3387912948627573,0.04747885131555499,0.15576628555769234,0.04455054173302357,0.2431826925509381,-0.06322945076953988
ESM-IF1,0.49553930378033384,0.2186078932152984,0.29694858110585054,0.12349473398589944,0.28744760049323287,0.05521547039171168
ProteinMPNN,0.4278364372191641,0.19452322623600363,0.15846730854159918,0.10774767790585617,0.1484413800013532,0.1692389368261472
ProtSSN_k10_h512,0.4835299990560978,0.2815950206275283,0.1963246535273553,0.14633000131234744,0.31217367409018393,0.06469394210237951
