,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
34,MIF_mifst_mifst_score,-0.29,-0.30,0.25,0.11,0.58,0.56,0.04,0.02,0.30,0.31,0.06,0.07,0.37,0.47,0.27,0.21,0.37,0.36,-0.05,-0.13,0.25,0.35,0.36,0.36,-0.04,-0.04,0.40,0.37,-0.01,-0.00,0.50,0.50,0.35,0.33,0.18,0.17,0.48,0.37,0.44,0.44,0.51,0.50,0.11,0.09,0.26,0.29,-0.21,-0.25,0.32,0.32,0.60,0.54,,,0.40,0.63,0.27,0.34,-0.24,-0.28,0.54,0.52,0.19,0.16,-0.15,-0.14,0.59,0.61,0.17,0.11,-0.03,-0.10,0.12,0.14,0.28,0.25,-0.05,-0.13,0.29,0.19,0.44,0.51,0.37,0.37,0.39,0.38,-0.08,-0.08,-0.20,-0.03,0.23,0.25,0.61,0.56,0.13,0.09,0.30,0.27,0.45,0.43
35,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed1,-0.24,-0.21,0.04,0.20,0.26,0.26,0.64,0.60,0.39,0.45,0.21,0.22,0.12,0.19,0.27,0.19,0.54,0.50,0.27,0.19,0.16,0.23,0.18,0.14,0.01,-0.00,-0.00,-0.02,0.23,0.25,0.16,0.19,0.35,0.38,0.09,0.05,0.47,0.36,0.27,0.29,0.58,0.58,-0.04,-0.07,0.30,0.32,0.21,0.19,0.22,0.26,0.29,0.21,,,0.20,0.58,-0.26,-0.18,-0.30,-0.32,0.05,-0.07,0.49,0.49,-0.44,-0.45,0.58,0.58,-0.25,-0.31,0.07,0.05,-0.26,-0.26,0.15,0.10,-0.02,-0.05,0.44,0.44,0.21,0.25,0.38,0.32,0.59,0.58,-0.22,-0.21,-0.07,0.01,0.10,0.11,0.29,0.30,-0.08,-0.17,0.01,0.03,0.20,0.19
36,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed2,-0.20,-0.17,0.08,0.22,0.28,0.29,0.63,0.58,0.36,0.41,0.13,0.14,0.10,0.20,0.29,0.20,0.60,0.56,0.26,0.17,0.28,0.34,0.30,0.28,0.09,0.08,0.25,0.24,0.19,0.20,0.45,0.49,0.30,0.34,0.11,0.07,0.46,0.35,0.23,0.22,0.55,0.56,-0.02,-0.05,0.28,0.30,0.16,0.13,0.29,0.34,0.29,0.24,,,0.07,0.38,-0.29,-0.22,-0.29,-0.33,-0.04,-0.22,0.48,0.47,-0.33,-0.34,0.54,0.53,-0.27,-0.30,0.13,0.10,-0.23,-0.22,0.16,0.11,-0.09,-0.11,0.46,0.47,-0.05,-0.02,0.39,0.35,0.54,0.52,-0.23,-0.16,-0.07,-0.05,0.13,0.13,0.40,0.37,-0.07,-0.16,0.09,0.09,0.14,0.14
37,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed3,-0.12,-0.11,0.03,0.16,0.37,0.38,0.60,0.56,0.36,0.42,0.05,0.06,0.13,0.21,0.22,0.13,0.52,0.49,0.22,0.12,0.22,0.29,0.39,0.36,-0.02,-0.03,0.21,0.19,0.32,0.36,0.41,0.45,0.35,0.39,0.16,0.12,0.44,0.34,0.24,0.25,0.59,0.59,-0.05,-0.09,0.20,0.23,0.22,0.20,0.30,0.32,0.26,0.17,,,0.07,0.39,-0.28,-0.20,-0.30,-0.33,-0.04,-0.16,0.46,0.45,-0.41,-0.40,0.49,0.48,-0.24,-0.28,0.07,0.05,-0.28,-0.27,0.14,0.09,0.02,0.02,0.57,0.57,0.03,0.07,0.34,0.28,0.59,0.58,-0.21,-0.13,-0.16,-0.10,0.21,0.22,0.35,0.34,-0.01,-0.10,0.18,0.16,0.18,0.18
38,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed4,-0.21,-0.18,0.03,0.20,0.26,0.25,0.62,0.56,0.32,0.39,0.18,0.19,0.13,0.19,0.30,0.21,0.59,0.56,0.28,0.19,0.19,0.26,0.38,0.35,0.00,-0.01,0.23,0.22,0.24,0.26,0.49,0.53,0.35,0.39,0.12,0.08,0.45,0.35,0.20,0.20,0.61,0.62,-0.03,-0.07,0.29,0.32,0.37,0.35,0.48,0.50,0.31,0.23,,,0.17,0.51,-0.29,-0.23,-0.30,-0.34,-0.03,-0.22,0.56,0.56,-0.30,-0.29,0.61,0.61,-0.25,-0.32,0.07,0.05,-0.09,-0.09,0.17,0.12,-0.29,-0.34,0.48,0.51,0.07,0.11,0.45,0.40,0.57,0.55,-0.20,-0.14,-0.04,0.02,0.17,0.17,0.46,0.43,-0.05,-0.13,0.17,0.15,0.15,0.14
39,MSA_Transformer_esm_msa1b_t12_100M_UR50S_seed5,-0.22,-0.19,0.06,0.20,0.35,0.35,0.60,0.56,0.35,0.41,0.26,0.27,0.12,0.19,0.32,0.23,0.57,0.55,0.31,0.23,0.25,0.33,0.25,0.22,0.03,0.02,0.16,0.16,0.19,0.20,0.33,0.35,0.37,0.41,0.21,0.16,0.43,0.32,0.24,0.24,0.61,0.62,-0.04,-0.08,0.39,0.40,0.25,0.22,0.43,0.46,0.23,0.18,,,0.09,0.40,-0.24,-0.16,-0.31,-0.31,-0.04,-0.19,0.47,0.46,-0.57,-0.57,0.56,0.55,-0.18,-0.23,0.01,0.00,-0.27,-0.27,0.15,0.10,-0.23,-0.23,0.54,0.55,-0.01,0.04,0.34,0.29,0.63,0.63,-0.17,-0.12,-0.04,0.05,0.14,0.15,0.40,0.39,-0.05,-0.13,-0.00,0.01,0.20,0.19
40,MSA_Transformer_esm_msa1b_t12_100M_UR50S_ensemble,-0.20,-0.18,0.05,0.20,0.31,0.31,0.63,0.59,0.36,0.42,0.16,0.18,0.12,0.20,0.28,0.19,0.57,0.54,0.28,0.19,0.22,0.29,0.32,0.29,0.02,0.01,0.18,0.17,0.25,0.27,0.40,0.43,0.35,0.39,0.14,0.10,0.46,0.35,0.24,0.24,0.60,0.60,-0.04,-0.07,0.30,0.32,0.26,0.24,0.35,0.39,0.29,0.21,,,0.13,0.46,-0.28,-0.21,-0.31,-0.34,-0.02,-0.18,0.51,0.51,-0.43,-0.43,0.56,0.56,-0.24,-0.29,0.07,0.05,-0.23,-0.22,0.16,0.11,-0.12,-0.14,0.51,0.52,0.05,0.09,0.38,0.33,0.59,0.57,-0.22,-0.17,-0.08,-0.02,0.16,0.16,0.38,0.37,-0.05,-0.13,0.09,0.09,0.17,0.17
41,MULAN_MULAN_small_MULAN_score,0.03,0.02,0.39,0.38,0.43,0.46,0.55,0.54,0.44,0.46,-0.09,-0.03,0.46,0.51,0.05,0.11,0.35,0.30,-0.08,-0.18,0.60,0.63,0.32,0.29,0.29,0.26,0.41,0.40,-0.14,-0.14,-0.06,-0.06,0.26,0.29,0.00,-0.04,0.60,0.55,0.26,0.31,0.61,0.62,0.13,0.16,0.23,0.25,0.32,0.29,0.30,0.32,0.29,0.34,,,0.19,0.29,0.28,0.35,-0.22,-0.22,-0.26,-0.09,0.47,0.46,-0.13,-0.13,0.73,0.72,0.43,0.32,-0.01,0.00,0.29,0.30,0.23,0.20,-0.10,-0.19,0.08,0.05,0.03,0.14,0.56,0.51,0.24,0.33,0.33,0.26,0.03,0.05,0.26,0.25,0.54,0.52,0.32,0.35,0.28,0.24,0.06,0.05
42,PoET_PoET_score,-0.15,-0.12,-0.07,0.05,0.34,0.35,0.61,0.58,0.35,0.42,0.38,0.36,0.22,0.32,0.35,0.28,0.52,0.49,0.37,0.33,0.32,0.39,0.35,0.33,0.00,-0.01,0.04,0.04,0.24,0.24,0.39,0.41,0.44,0.46,0.20,0.16,0.46,0.36,0.27,0.29,0.62,0.62,-0.07,-0.09,0.41,0.44,0.26,0.22,0.38,0.39,0.40,0.36,,,0.35,0.58,0.01,0.09,-0.25,-0.31,0.48,0.32,0.48,0.47,-0.34,-0.35,0.50,0.50,0.42,0.38,0.26,0.24,-0.04,-0.03,0.04,0.05,0.03,-0.01,0.55,0.52,0.38,0.36,0.27,0.22,0.57,0.56,0.09,0.07,-0.05,0.02,0.21,0.22,0.42,0.42,0.09,-0.01,0.05,0.03,0.21,0.22
43,Progen2_base_Progen2_score,-0.49,-0.46,-0.11,0.06,0.08,0.12,0.53,0.50,0.25,0.33,0.27,0.25,0.18,0.31,0.08,0.13,0.55,0.47,0.17,0.09,-0.05,0.03,0.25,0.21,-0.01,-0.01,0.28,0.26,-0.32,-0.30,-0.04,-0.03,0.24,0.25,0.19,0.16,0.31,0.19,0.23,0.24,0.53,0.51,-0.01,-0.03,0.23,0.27,-0.09,-0.14,-0.02,0.03,0.25,0.23,,,0.22,0.49,-0.09,0.01,-0.36,-0.38,-0.60,-0.45,0.15,0.14,-0.54,-0.55,0.57,0.57,0.33,0.26,0.10,0.05,-0.06,-0.02,-0.20,-0.17,-0.21,-0.31,0.58,0.58,0.38,0.35,0.17,0.12,0.46,0.44,0.27,0.22,-0.74,-0.71,0.06,0.07,0.29,0.20,-0.05,-0.13,0.00,0.00,0.31,0.27
44,Progen2_large_Progen2_score,-0.45,-0.43,-0.09,0.08,0.37,0.37,0.53,0.49,0.36,0.45,0.18,0.16,0.20,0.30,-0.00,0.06,0.59,0.53,0.03,-0.05,0.07,0.16,0.14,0.12,-0.09,-0.08,0.12,0.10,-0.17,-0.14,0.03,0.02,0.18,0.19,0.04,0.03,0.38,0.24,0.19,0.18,0.65,0.63,-0.02,-0.05,0.31,0.34,-0.15,-0.18,-0.14,-0.14,0.27,0.24,,,0.21,0.43,0.30,0.34,-0.33,-0.35,-0.38,-0.20,0.22,0.21,-0.62,-0.62,0.41,0.43,0.47,0.40,-0.00,-0.04,-0.44,-0.40,-0.09,-0.08,-0.02,-0.13,0.42,0.38,0.30,0.27,0.16,0.17,0.40,0.39,0.10,0.09,-0.68,-0.61,0.03,0.06,0.36,0.31,-0.02,-0.10,0.04,0.01,0.19,0.18
45,Progen2_medium_Progen2_score,-0.61,-0.57,-0.15,0.02,0.23,0.25,0.65,0.63,0.15,0.24,0.28,0.25,0.33,0.43,0.10,0.15,0.61,0.56,0.10,0.01,-0.00,0.08,0.31,0.28,-0.05,-0.04,0.28,0.24,-0.27,-0.25,-0.05,-0.05,0.17,0.18,0.16,0.13,0.39,0.26,0.19,0.18,0.46,0.44,-0.08,-0.11,0.31,0.37,0.04,-0.01,-0.09,-0.06,0.33,0.31,,,0.18,0.39,-0.30,-0.23,-0.36,-0.35,-0.44,-0.37,0.22,0.21,-0.51,-0.52,0.49,0.49,0.38,0.32,0.15,0.10,-0.52,-0.50,-0.27,-0.24,-0.20,-0.27,0.49,0.48,0.35,0.32,0.13,0.12,0.29,0.28,0.16,0.14,-0.53,-0.46,0.11,0.14,0.27,0.22,0.18,0.08,-0.01,-0.02,0.25,0.24
46,Progen2_small_Progen2_score,-0.53,-0.49,-0.21,0.02,-0.11,-0.11,0.61,0.57,0.02,0.10,0.32,0.29,0.40,0.52,-0.05,0.02,0.56,0.50,0.16,0.10,0.03,0.09,-0.02,-0.07,-0.21,-0.18,0.20,0.17,-0.14,-0.11,-0.03,0.00,0.23,0.26,0.14,0.10,0.34,0.22,-0.08,-0.06,0.31,0.32,-0.07,-0.10,0.20,0.25,0.14,0.10,0.04,0.05,0.18,0.14,,,0.18,0.48,0.12,0.21,-0.38,-0.38,-0.54,-0.36,0.30,0.31,-0.46,-0.46,0.45,0.45,0.54,0.50,0.18,0.16,-0.17,-0.13,-0.25,-0.22,-0.20,-0.27,0.48,0.50,0.31,0.28,0.13,0.11,0.22,0.21,0.21,0.19,-0.57,-0.48,0.09,0.12,0.31,0.25,-0.23,-0.26,-0.01,-0.03,0.23,0.21
47,Progen2_xlarge_Progen2_score,-0.45,-0.39,-0.20,-0.12,0.37,0.36,0.52,0.48,0.46,0.48,0.23,0.22,0.17,0.27,0.26,0.20,0.60,0.54,0.09,-0.00,0.17,0.25,0.18,0.16,-0.17,-0.17,0.14,0.12,-0.23,-0.22,0.39,0.42,0.17,0.16,0.15,0.12,0.38,0.28,0.18,0.16,0.35,0.34,0.01,-0.01,0.44,0.46,0.05,0.01,0.11,0.14,0.29,0.28,,,0.33,0.54,-0.15,-0.05,-0.32,-0.36,0.55,0.37,0.26,0.26,-0.52,-0.53,0.50,0.51,0.22,0.14,0.11,0.05,-0.52,-0.48,0.13,0.09,0.12,0.01,0.50,0.47,0.38,0.37,0.09,0.05,0.33,0.33,0.28,0.23,-0.69,-0.55,0.05,0.08,0.30,0.23,0.12,-0.02,-0.03,-0.03,0.28,0.27
48,ProSST_ProSST-1024_ProSST-1024,0.34,0.35,0.13,0.11,0.27,0.29,0.66,0.62,0.70,0.70,0.30,0.30,0.38,0.53,0.34,0.36,0.59,0.54,0.39,0.32,0.46,0.49,0.46,0.42,0.03,-0.01,0.51,0.46,0.49,0.48,0.50,0.53,0.56,0.60,0.08,0.06,0.64,0.56,0.65,0.68,0.61,0.60,0.24,0.24,0.47,0.49,0.46,0.44,0.73,0.70,0.65,0.57,,,0.14,0.47,0.58,0.60,-0.20,-0.24,0.50,0.55,0.70,0.69,-0.08,-0.05,0.67,0.67,0.45,0.41,0.33,0.29,0.44,0.45,-0.04,0.00,0.53,0.47,0.60,0.66,0.40,0.46,0.52,0.48,0.64,0.62,0.25,0.16,0.33,0.29,0.28,0.28,0.41,0.43,0.75,0.73,0.55,0.49,0.55,0.52
49,ProSST_ProSST-128_ProSST-128,0.14,0.15,0.31,0.34,0.28,0.30,0.64,0.61,0.62,0.62,0.22,0.21,0.43,0.56,0.61,0.55,0.58,0.52,0.10,0.11,0.51,0.53,0.25,0.25,0.06,0.03,0.62,0.58,0.57,0.56,0.49,0.48,0.47,0.50,0.26,0.23,0.55,0.45,0.41,0.46,0.71,0.71,0.29,0.31,0.38,0.40,0.34,0.32,0.64,0.61,0.62,0.54,,,0.15,0.44,0.52,0.55,-0.21,-0.28,0.45,0.62,0.40,0.41,0.33,0.34,0.73,0.72,0.38,0.29,0.34,0.28,0.14,0.15,0.12,0.14,0.60,0.58,0.30,0.36,0.38,0.40,0.36,0.29,0.67,0.66,0.31,0.24,0.32,0.23,0.19,0.21,0.67,0.69,0.70,0.66,0.48,0.40,0.44,0.42
50,ProSST_ProSST-20_ProSST-20,0.34,0.31,0.13,0.25,0.12,0.15,0.63,0.62,0.51,0.49,-0.17,-0.15,0.55,0.65,0.05,0.11,0.62,0.56,0.14,0.11,0.39,0.42,-0.14,-0.11,0.42,0.37,0.51,0.50,0.20,0.16,0.16,0.19,0.31,0.34,0.24,0.20,0.60,0.51,0.48,0.54,0.68,0.68,0.27,0.33,0.37,0.39,0.44,0.43,0.73,0.72,0.59,0.52,,,0.16,0.49,0.58,0.60,-0.17,-0.24,0.70,0.74,0.12,0.12,-0.09,-0.01,0.59,0.60,0.46,0.40,0.34,0.34,0.50,0.50,-0.10,-0.08,0.55,0.53,0.42,0.47,0.32,0.34,0.46,0.40,0.69,0.68,0.37,0.32,0.40,0.27,0.23,0.25,0.66,0.62,0.62,0.58,0.45,0.37,0.47,0.43
51,ProSST_ProSST-2048_ProSST-2048,0.20,0.19,0.19,0.22,0.59,0.59,0.70,0.69,0.60,0.60,0.10,0.13,0.56,0.67,0.57,0.55,0.63,0.57,0.40,0.37,0.43,0.49,0.44,0.42,-0.12,-0.11,0.45,0.39,0.46,0.47,0.50,0.50,0.67,0.67,0.22,0.15,0.67,0.56,0.43,0.46,0.65,0.67,0.14,0.13,0.35,0.38,0.08,0.04,0.71,0.69,0.59,0.49,,,-0.01,0.28,0.41,0.45,-0.27,-0.36,0.72,0.76,0.37,0.36,0.09,0.10,0.73,0.72,0.16,0.04,0.20,0.15,0.39,0.40,0.14,0.15,0.31,0.23,0.64,0.61,-0.02,0.08,0.59,0.55,0.60,0.60,-0.17,-0.14,0.06,0.12,0.29,0.30,0.57,0.53,0.63,0.60,0.61,0.53,0.40,0.38
52,ProSST_ProSST-4096_ProSST-4096,0.41,0.41,0.04,0.07,0.52,0.55,0.68,0.66,0.60,0.61,0.15,0.17,0.32,0.48,0.53,0.48,0.61,0.55,0.40,0.35,0.41,0.44,0.38,0.37,0.05,0.02,0.43,0.40,0.46,0.45,0.55,0.57,0.57,0.57,0.32,0.28,0.60,0.50,0.58,0.60,0.58,0.59,0.14,0.13,0.40,0.41,0.09,0.08,0.71,0.68,0.60,0.51,,,0.27,0.57,0.42,0.44,-0.10,-0.13,0.54,0.63,0.39,0.37,0.18,0.19,0.62,0.63,0.56,0.52,0.34,0.32,0.45,0.46,0.26,0.23,0.66,0.66,0.64,0.68,-0.06,0.04,0.35,0.29,0.62,0.60,0.31,0.24,0.33,0.32,0.23,0.24,0.44,0.34,0.72,0.71,0.55,0.46,0.48,0.44
53,ProSST_ProSST-512_ProSST-512,0.33,0.33,0.15,0.33,0.27,0.31,0.65,0.61,0.60,0.59,0.29,0.29,0.45,0.58,0.15,0.18,0.61,0.57,0.37,0.34,0.44,0.48,0.44,0.41,-0.07,-0.08,0.44,0.42,0.56,0.56,0.58,0.64,0.54,0.56,0.25,0.24,0.60,0.49,0.51,0.56,0.62,0.62,0.33,0.33,0.34,0.35,0.34,0.33,0.75,0.73,0.64,0.55,,,0.09,0.36,0.48,0.50,-0.12,-0.16,0.18,0.28,0.38,0.38,0.09,0.13,0.70,0.71,0.49,0.45,0.31,0.26,0.41,0.41,0.08,0.09,0.67,0.63,0.42,0.48,0.49,0.52,0.30,0.26,0.37,0.38,0.27,0.20,0.23,0.21,0.18,0.19,0.63,0.62,0.69,0.69,0.57,0.53,0.48,0.45
54,ProteinMPNN_pmpnn_ll,0.01,0.02,0.34,0.22,0.34,0.38,0.23,0.16,0.24,0.25,0.25,0.26,0.45,0.49,0.27,0.23,0.34,0.35,0.12,0.11,0.19,0.27,0.35,0.33,0.20,0.18,0.31,0.28,-0.01,-0.02,0.31,0.35,0.23,0.23,0.26,0.23,0.48,0.39,0.40,0.40,0.62,0.62,0.14,0.12,0.18,0.20,0.40,0.37,0.40,0.37,0.52,0.45,,,0.52,0.54,0.19,0.25,-0.09,-0.12,0.49,0.56,0.23,0.23,0.04,0.06,0.32,0.30,0.23,0.24,0.43,0.44,0.14,0.13,0.17,0.15,0.05,0.04,0.44,0.38,0.50,0.52,0.34,0.36,0.62,0.64,-0.01,0.01,0.01,-0.01,0.16,0.17,0.33,0.29,0.58,0.56,0.41,0.38,0.36,0.33
55,ProtGPT2_ProtGPT2_score,-0.32,-0.29,-0.15,-0.04,0.07,0.07,0.31,0.29,0.10,0.10,0.30,0.28,0.01,0.11,0.27,0.29,0.50,0.52,-0.14,-0.16,0.35,0.38,-0.02,-0.02,-0.00,-0.01,0.11,0.10,-0.19,-0.18,0.48,0.54,0.00,0.02,0.26,0.27,0.42,0.29,0.23,0.27,0.48,0.46,0.25,0.19,0.19,0.19,0.03,0.01,0.15,0.10,0.29,0.32,,,0.31,0.40,-0.03,0.07,-0.12,-0.11,-0.34,-0.30,0.19,0.15,-0.02,-0.00,0.46,0.44,0.37,0.36,0.20,0.19,0.06,0.05,-0.17,-0.17,-0.27,-0.35,0.44,0.41,0.41,0.37,0.14,0.09,0.62,0.59,0.04,0.05,-0.31,-0.21,0.26,0.28,0.02,0.12,-0.07,-0.04,-0.08,-0.05,0.21,0.20
56,ProtSSN_ProtSSN_k10_h512,0.19,0.18,-0.11,0.02,0.25,0.23,0.44,0.43,0.37,0.39,0.42,0.39,0.42,0.43,0.53,0.47,0.06,0.06,0.32,0.31,0.18,0.24,0.38,0.35,0.02,-0.01,0.36,0.31,-0.10,-0.10,0.60,0.63,0.50,0.50,0.19,0.14,0.53,0.42,0.32,0.36,0.66,0.65,0.09,0.06,0.31,0.32,0.28,0.24,0.53,0.51,0.34,0.26,,,0.18,0.46,0.20,0.27,-0.18,-0.23,0.12,-0.09,0.52,0.52,-0.02,-0.04,0.70,0.69,0.33,0.33,-0.00,-0.00,0.22,0.24,0.02,0.01,-0.26,-0.41,0.59,0.61,0.35,0.33,0.44,0.39,0.62,0.60,-0.16,-0.20,0.13,0.19,0.16,0.16,0.44,0.40,0.09,0.02,-0.07,-0.03,0.42,0.39
57,ProtSSN_ProtSSN_k20_h512,-0.00,-0.01,-0.01,0.08,0.34,0.34,0.58,0.58,0.34,0.38,0.35,0.34,0.46,0.47,0.52,0.47,0.24,0.23,0.32,0.28,0.31,0.37,0.40,0.37,0.05,0.05,0.34,0.30,-0.11,-0.11,0.26,0.28,0.52,0.51,0.22,0.17,0.54,0.44,0.26,0.30,0.65,0.64,0.08,0.05,0.31,0.32,0.31,0.27,0.67,0.67,0.41,0.34,,,0.28,0.52,0.29,0.34,-0.19,-0.23,0.02,-0.15,0.44,0.44,0.02,0.03,0.60,0.60,0.13,0.03,-0.05,-0.06,0.21,0.23,0.03,0.02,-0.29,-0.45,0.57,0.57,0.38,0.38,0.48,0.44,0.61,0.60,-0.10,-0.12,0.05,0.15,0.24,0.26,0.52,0.47,0.01,-0.05,0.02,0.09,0.38,0.36
58,ProtSSN_ProtSSN_k30_h512,-0.02,-0.01,-0.02,0.08,0.16,0.17,0.65,0.63,0.36,0.38,0.35,0.32,0.42,0.42,0.49,0.43,0.16,0.17,0.23,0.18,0.20,0.28,0.37,0.34,0.15,0.13,0.30,0.25,-0.10,-0.10,0.42,0.45,0.52,0.52,0.17,0.12,0.52,0.43,0.24,0.27,0.70,0.69,0.10,0.06,0.38,0.39,0.34,0.29,0.59,0.59,0.50,0.41,,,0.29,0.54,0.18,0.26,-0.25,-0.29,-0.02,-0.17,0.47,0.47,-0.07,-0.08,0.68,0.67,0.27,0.22,-0.12,-0.12,0.15,0.17,-0.04,-0.02,-0.22,-0.37,0.56,0.57,0.34,0.32,0.30,0.24,0.58,0.58,-0.10,-0.14,0.11,0.13,0.15,0.17,0.49,0.43,-0.01,-0.06,0.08,0.09,0.38,0.34
